referenceDesignator,Cruise,instrumentType,deployDate,assetID,serialNumber
RS03AXPS-PC03A-07-CAMDSC302,TN407,CAMDS,2022-08-13T00:57:00,ATAPL-78437-00001,SUBC18830, SUBC18825, SUBC18826, SUBC18901, SUBC18907
RS03AXPS-SF03A-2A-CTDPFA302,TN407,CTDPF-A,2022-08-13T00:57:00,ATAPL-66662-00003,16P71179-7232
RS03AXPS-SF03A-2A-DOFSTA302,TN407,DOFST-A,2022-08-13T00:57:00,ATAPL-58694-00002,43-2484
RS03AXPS-SF03A-2D-PHSENA301,TN407,PHSEN-A,2022-08-13T00:57:00,ATAPL-58337-00002,P0112
RS03AXPS-SF03A-3A-FLORTD301,TN407,FLOR-D,2022-08-13T00:57:00,ATAPL-58322-00014,5967
RS03AXPS-SF03A-3B-OPTAAD301,TN407,OPTAA-D,2022-08-13T00:57:00,ATAPL-58332-00001,134
RS03AXPS-SF03A-3C-PARADA301,TN407,PARAD-A,2022-08-13T00:57:00,ATAPL-78452-00007,1405
RS03AXPS-SF03A-3D-SPKIRA301,TN407,SPKIR-A,2022-08-13T00:57:00,ATAPL-58341-00002,244
RS03AXPS-SF03A-4A-NUTNRA301,TN407,NUTNR-A,2022-08-13T00:57:00,ATAPL-68020-00002,379
RS03AXPS-SF03A-4B-VELPTD302,TN407,VELPT-D,2022-08-13T00:57:00,ATAPL-70114-00002,AQS-6334, AQD-11653
RS03AXPS-SF03A-4F-PCO2WA301,TN407,PCO2W-A,2022-08-13T00:57:00,ATAPL-58336-00010,C0124
RS03INT2-MJ03D-05-OBSSPA305,TN313,OBSSP-A,2014-07-21T06:36:00,ATAPL-58331-00001,T6J67
RS03INT2-MJ03D-06-BOTPTA303,TN313,BOTPT-A,2014-07-24T22:28:00,ATAPL-58316-00002,4, 9655, 3616, 120788
RS03INT2-MJ03D-12-VEL3DB304,RR1810,VEL3D-B,2018-07-05T00:00:00,ATAPL-67979-00003,10312
RS03INT1-MJ03C-05-CAMDSB303,TN393,CAMDS,2021-08-30T06:15:00,ATAPL-78437-00010,SUBC20117, SUBC20160, SUBC20159, SUBC19011, SUBC19023
RS03INT1-MJ03C-07-D1000A301,TN407,RASFL-A,2022-08-13T20:16:00,ATAPL-58340-00002,12881-02
RS03INT1-MJ03C-07-PPSDNA301,TN407,PPSDN-A,2022-08-13T20:16:00,ATAPL-58338-00003,12881-03
RS03INT1-MJ03C-07-RASFLA301,TN407,RASFL-A,2022-08-13T20:16:00,ATAPL-58340-00002,12881-02
RS03INT1-MJ03C-10-TRHPHA301,TN407,TRHPH-A,2022-08-13T03:30:00,ATAPL-67653-00001,1
RS01SUM2-MJ01B-12-ADCPSK101,RR1809,ADCPS-K,2018-06-26T16:30:00,ATAPL-58419-00003,18977
RS01SUM2-MJ01B-10-QNTSRA101,TN382,MARUM,2020-08-23T23:15:09,PIRSN-QNTSRA-00001,1
RS01SUM2-MJ01B-05-CAMDSB103,TN393,CAMDS,2021-08-14T23:00:19,ATAPL-78437-00011,SUBC20118, SUBC20158, SUBC19980, SUBC20100, SUBC20103
RS01SUM2-MJ01B-09-CAMPIA101,TN393,MARUM,2021-08-15T07:25:29,PIRSN-CAMPIA-00001,SUBC17758,SUBC18936
RS01SUM2-MJ01B-00-FLOBNC101,TN407,FLOBN-CAT,2022-08-20T12:15:59,ATAPL-58334-00004,4
RS01SUM2-MJ01B-00-FLOBNM101,TN407,FLOBN-MOS,2022-08-22T19:15:20,ATAPL-70113-00003,3
RS01SUM2-MJ01B-00-OSMOIA101,TN407,OSMOI-A,2022-08-20T12:03:00,ATAPL-58333-00001,1
RS01SUM2-MJ01B-11-CTDPFA110,TN407,MARUM,2022-08-21T03:29:00,PIRSN-CTDPFA-10002,16-50347,63-2513
RS03CCAL-MJ03F-05-BOTPTA301,TN313,BOTPT-A,2014-07-25T21:05:00,ATAPL-58316-00003,5, 9676, 9914, 120798
RS03CCAL-MJ03F-06-HYDLFA305,TN313,HYDLF-A,2014-07-26T20:43:24,ATAPL-58693-00003,299467
RS03CCAL-MJ03F-06-OBSBBA301,TN313,OBSBB-A,2014-07-26T20:43:24,ATAPL-58328-00003,T1075, T5CP3-MARTHA
RS03CCAL-MJ03F-09-SCPRAA301,RR1810,WILCOCK,2018-07-06T07:00:00,PIRSN-SCPRAA-00001,1
RS03CCAL-MJ03F-07-AOABPA301,AT42-12,WILCOCK,2019-07-05T18:51:00,PIRSN-AOABPA-00001,1
RS03CCAL-MJ03F-11-PADCPA301,TN393,ADCPF-P,2021-08-28T17:40:00,PIRSN-PADCPA-00001,1023
RS03CCAL-MJ03F-12-CTDPFB305,TN407,CTDPF-B,2022-08-31T09:17:00,ATAPL-67627-00001,16P66805-6943
RS03ECAL-MJ03E-05-OBSSPA303,TN299,OBSSP-A,2013-07-27T04:37:19,ATAPL-58331-00005,T6J71
RS03ECAL-MJ03E-06-BOTPTA302,TN299,BOTPT-A,2014-09-03T21:00:01,ATAPL-58316-00004,7, 9652, 3617, 121184
RS03ECAL-MJ03E-08-OBSSPA304,TN299,OBSSP-A,2013-07-26T23:57:57,ATAPL-58331-00006,T6J72
RS03ECAL-MJ03E-09-HYDLFA304,TN313,HYDLF-A,2014-07-23T22:50:02,ATAPL-58693-00002,299466
RS03ECAL-MJ03E-09-OBSBBA302,TN313,OBSBB-A,2014-07-23T22:50:02,ATAPL-58328-00002,T1073, T5CP3-LIZA
RS03ECAL-MJ03E-12-CTDPFB306,TN407,CTDPF-B,2022-08-16T00:00:00,ATCWK-67627-00008,16-50321
RS03ASHS-MJ03B-06-OBSSPA301,TN299,OBSSP-A,2013-08-15T15:38:00,ATAPL-58331-00010,T6J76
RS03ASHS-MJ03B-05-OBSSPA302,TN299,OBSSP-A,2013-08-11T13:52:00,ATAPL-58331-00008,T6J74
RS03ASHS-MJ03B-09-BOTPTA304,RR1714,BOTPT-A,2017-08-15T00:00:00,ATAPL-58316-00001,3, 9651, 8643, 120785
RS03ASHS-MJ03B-07-TMPSFA301,RR1714,TMPSF-A,2017-08-15T00:00:00,ATAPL-58343-00002,21969
RS03ASHS-MJ03B-12-COVISA301,AT42-12,COVIS,2019-07-05T22:43:00,PIRSN-COVISA-00001,1
RS03ASHS-PN03B-06-CAMHDA301,TN393,CAMHD-A,2021-08-29T00:15:00,ATAPL-70248-00002,13114, 12099, 12100, 70501
RS03ASHS-MJ03B-00-OSMOIA301,TN407,OSMOI-A,2022-08-30T05:21:00,ATAPL-58333-00002,2
RS03ASHS-MJ03B-10-CTDPFB304,TN407,CTDPF-B,2022-08-16T00:00:00,ATCWK-67627-00007,16-50210
