verificationStatus,referenceDesignator,deployYear,deploymentSheetAssetID,rawFileVerification,imageVerification,calFileVerification,calibrationRequired,HITLstatus,HITLnotes,,
NOT_VERIFIED,RS03AXPS-PC03A-07-CAMDSC302,2024,ATAPL-78437-00002,NAN,NAN,none,NAN,NA,,,
VERIFIED,RS03AXPD-DP03A-01-CTDPFL304,2024,ATAPL-67977-00003,MATCH,NAN,none,NAN,NA,,,
VERIFIED,RS03AXPD-DP03A-00-ENG000000,2024,ATAPL-71444-00003,MATCH,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS03ASHS-PN03B-06-CAMHDA301,2024,ATAPL-70248-00002,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS03ASHS-MJ03B-00-OSMOIA301,2024,ATAPL-58333-00002,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS01SUM2-MJ01B-05-CAMDSB103,2024,ATAPL-78437-00012,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS01SUM2-MJ01B-00-OSMOIA101,2024,ATAPL-58333-00001,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS01SUM2-MJ01B-00-FLOBNM101,2024,ATAPL-70113-00003,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS01SUM2-MJ01B-00-FLOBNC101,2024,ATAPL-58334-00002,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS01SUM1-LJ01B-12-VEL3DB104,2024,ATAPL-67979-00004,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS01SLBS-MJ01A-12-VEL3DB101,2024,ATAPL-67979-00006,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS01SLBS-LJ01A-05-HPIESA101,2024,ATAPL-58323-00002,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS01SBPS-SF01A-4B-VELPTD102,2024,ATAPL-70114-00003,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,RS01SBPS-PC01A-07-CAMDSC102,2024,ATAPL-78437-00001,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,CE04OSPS-SF01B-4B-VELPTD106,2024,ATAPL-70114-00006,NAN,NAN,none,NAN,NA,,,
VERIFIED,CE04OSPD-DP01B-01-CTDPFL105,2024,ATAPL-67977-00005,MATCH,NAN,none,NAN,NA,,,
VERIFIED,CE04OSPD-DP01B-00-ENG000000,2024,ATAPL-71444-00004,MATCH,NAN,none,NAN,NA,,,
NOT_VERIFIED,CE04OSBP-LV01C-06-CAMDSB106,2024,ATAPL-78437-00013,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,CE04OSBP-LJ01C-07-VEL3DC107,2024,ATOSU-69829-00004,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,CE02SHBP-MJ01C-08-CAMDSB107,2024,ATAPL-78437-00010,NAN,NAN,none,NAN,NA,,,
NOT_VERIFIED,CE02SHBP-LJ01D-07-VEL3DC108,2024,ATOSU-69829-00003,NAN,NAN,none,NAN,NA,,,
RAW_SN_POSSIBLE,RS03AXPS-PC03A-06-VADCPB301,2024,ATAPL-78520-00004,NO_FILE,MISMATCH: image: nan deployment:ATAPL-78520-00004,none,TRUE,NA,,,
VERIFIED,RS03AXPS-PC03A-05-ADCPTD302,2024,ATAPL-58315-00003,MATCH,NAN,none,TRUE,NA,,,
RAW_SN_POSSIBLE,RS01SBPS-PC01A-06-VADCPB101,2024,ATAPL-78520-00003,NO_FILE,MISMATCH: image: nan deployment:ATAPL-78520-00003,none,TRUE,NA,,,
VERIFIED,RS01SBPS-PC01A-05-ADCPTD102,2024,ATAPL-58315-00005,MATCH,NAN,none,TRUE,NA,,,
NOT_VERIFIED,CE04OSPS-PC01B-05-ZPLSCB102,2024,ATAPL-90485-20004,NAN,NAN,none,TRUE,NA,,,
VERIFIED,CE04OSBP-LJ01C-05-ADCPSI103,2024,ATOSU-69825-00001,MATCH,NAN,none,TRUE,NA,,,
NOT_VERIFIED,CE02SHBP-MJ01C-07-ZPLSCB101,2024,ATAPL-90485-20005,NAN,NAN,none,TRUE,NA,,,
VERIFIED,CE02SHBP-LJ01D-05-ADCPTB104,2024,ATOSU-69826-00002,MATCH,NAN,none,TRUE,NA,,,
VERIFIED,RS03INT2-MJ03D-11-CTDPFB307,2024,ATCWK-67627-00012,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS03ECAL-MJ03E-12-CTDPFB306,2024,ATCWK-67627-00008,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS03CCAL-MJ03F-12-CTDPFB305,2024,ATCWK-67627-00013,MATCH,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,RS03AXPS-SF03A-4F-PCO2WA301,2024,ATAPL-58336-00010,NAN,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS03AXPS-SF03A-4A-NUTNRA301,2024,ATAPL-68020-00002,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS03AXPS-SF03A-3D-SPKIRA301,2024,ATAPL-58341-00002,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS03AXPS-SF03A-3C-PARADA301,2024,ATAPL-78452-00007,NO_FILE,MATCH,VALID_FILE,TRUE,NA,,,
VERIFIED,RS03AXPS-SF03A-3B-OPTAAD301,2024,ATAPL-58332-00005,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS03AXPS-SF03A-3A-FLORTD301,2024,ATAPL-58322-00014,MATCH,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,RS03AXPS-SF03A-2D-PHSENA301,2024,ATAPL-58337-00002,NAN,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,RS03AXPS-SF03A-2A-DOFSTA302,2024,ATAPL-58694-00002,NAN,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS03AXPS-SF03A-2A-CTDPFA302,2024,ATAPL-66662-00003,NO_FILE,MATCH,VALID_FILE,TRUE,NA,,,
VERIFIED,RS03AXPS-PC03A-4C-FLORDD303,2024,ATAPL-58322-00004,MATCH,NAN,VALID_FILE,TRUE,NA,,,
